family,is_seed,product_kind,product_id,product_name,quality,spell_id,spell_name,craft_kind,profession,learned_at,difficulty,yield,station,method,recipe_item,reagents,effect
buckle,1,item,967188,Cleric's Belt Buckle,3,968034,Cleric's Belt Buckle,recipe,Blacksmithing,300,300/310/312/315,1,Anvil,,Plans: Cleric's Belt Buckle,1x Plague Iron; 1x Homicite Bar; 3x Blue Sapphire; 5x Living Essence,Use: Permanently adds 8 Spirit to a belt item.
buckle,1,item,967182,Dancing Belt Buckle,3,968028,Dancing Belt Buckle,recipe,Blacksmithing,300,300/310/312/315,1,Anvil,,Plans: Dancing Belt Buckle,1x Wintersteel; 1x Homicite Bar; 3x Huge Emerald; 5x Living Essence,Use: Permanently adds 8 (0.64% @ L55) Dodge Rating to a belt item.
buckle,1,item,967194,Guardman's Belt Buckle,3,968040,Guardman's Belt Buckle,recipe,Blacksmithing,300,300/310/312/315,1,Anvil,,Plans: Guardman's Belt Buckle,1x Ebon Dragonsteel; 1x Homicite Bar; 20x Dense Stone; 5x Living Essence,Use: Permanently adds 10 Block Value to a belt item.
buckle,1,item,967185,Magus Belt Buckle,3,968031,Magus Belt Buckle,recipe,Blacksmithing,300,300/310/312/315,1,Anvil,,Plans: Magus Belt Buckle,1x Wintersteel; 1x Homicite Bar; 3x Large Opal; 5x Essence of Water,Use: Permanently adds 10 Intellect to a belt item.
buckle,1,item,967179,Roguish Belt Buckle,3,968025,Roguish Belt Buckle,recipe,Blacksmithing,300,300/310/312/315,1,Anvil,,Plans: Roguish Belt Buckle,1x Plague Iron; 1x Homicite Bar; 3x Star Ruby; 5x Essence of Air,Use: Permanently adds 6 Agility to a belt item.
buckle,1,item,967191,Warlord's Belt Buckle,3,968037,Warlord's Belt Buckle,recipe,Blacksmithing,300,300/310/312/315,1,Anvil,,Plans: Warlord's Belt Buckle,1x Ebon Dragonsteel; 1x Homicite Bar; 5x Black Diamond; 5x Essence of Fire,Use: Permanently adds 6 Strength to a belt item.
enchant,1,spell,968698,Enchant Weapon - Arcane Artillery,,968698,Enchant Weapon - Arcane Artillery,recipe,Enchanting,300,300/310/312/315,1,,,Recipe: Enchant Weapon - Arcane Artillery,1x Hell Dust; 1x Profane Shard; 5x Large Brilliant Shard; 15x Greater Eternal Essence; 20x Illusion Dust,"Permanently enchant a melee weapon for your spell, ranged and melee attacks to have a chance to increase your Spell Power by 80+1.0 Points Per Level for $968760donds."
enchant,1,spell,968695,Enchant Weapon - Arcane Dexterity,,968695,Enchant Weapon - Arcane Dexterity,recipe,Enchanting,300,300/310/312/315,1,,,Recipe: Enchant Weapon - Arcane Dexterity,1x Item 1303164; 1x Item 1303149; 1x Large Brilliant Shard; 5x Greater Eternal Essence; 10x Illusion Dust,"Permanently enchant a melee weapon for your direct spell damage, ranged and melee attacks to have a chance to increase your Haste Rating by 40+3.0 Points Per Level (1.22% @ L80) for 10 seconds."
enchant,1,spell,968701,Enchant Weapon - Arcane Precision,,968701,Enchant Weapon - Arcane Precision,recipe,Enchanting,300,300/310/312/315,1,,,Recipe: Enchant Weapon - Arcane Precision,1x Item 1303160; 1x Item 1303149; 1x Large Brilliant Shard; 5x Greater Eternal Essence; 10x Illusion Dust,"Permanently enchant a melee weapon for your spell, ranged and melee attacks to have a chance to increase your Critical Strike Rating by 34+2.7 Points Per Level (0.74% @ L80) for 15 seconds."
enchant,1,spell,968770,Enchant Weapon - Brutal Crusader,,968770,Enchant Weapon - Brutal Crusader,recipe,Enchanting,300,300/310/312/315,1,,,Recipe: Enchant Weapon - Brutal Crusader,1x Animated Bone Dust; 1x Profane Shard; 5x Large Brilliant Shard; 15x Greater Eternal Essence; 20x Illusion Dust,Permanently enchant a melee weapon to often heal for 75 to 125 and increase Strength by 110+1.0 Points Per Level for $968767donds when attacking in melee.
enchant,1,spell,968689,Enchant Weapon - Grovewarden's Blessing,,968689,Enchant Weapon - Grovewarden's Blessing,recipe,Enchanting,300,300/310/312/315,1,,,Recipe: Enchant Weapon - Grovewarden's Blessing,1x Essence of Twilight; 1x Profane Shard; 5x Large Brilliant Shard; 15x Greater Eternal Essence; 20x Illusion Dust,Permanently enchant a weapon to have a chance to increase your Spirit by 80+1.0 Points Per Level for $968752donds whenever you cast spells.
enchant,1,spell,968680,Enchant Weapon - Lucid Assault,,968680,Enchant Weapon - Lucid Assault,recipe,Enchanting,300,300/310/312/315,1,,,Recipe: Enchant Weapon - Lucid Assault,1x Item 1303164; 1x Item 1303149; 1x Large Brilliant Shard; 5x Greater Eternal Essence; 10x Illusion Dust,Permanently enchant a melee weapon for your attacks  and spells to have a chance to increase your Attack Power by 36+2.8 Points Per Level and your Spell Power by 18+1.9 Points Per Level for 15 seconds.
enchant,1,spell,968686,Enchant Weapon - Ninja's Focus,,968686,Enchant Weapon - Ninja's Focus,recipe,Enchanting,300,300/310/312/315,1,,,Recipe: Enchant Weapon - Ninja's Focus,1x Essence of Twilight; 1x Profane Shard; 5x Large Brilliant Shard; 15x Greater Eternal Essence; 20x Illusion Dust,"Permanently enchant a melee weapon to have a chance to increase your Agility by 110+1.0 Points Per Level for $968746donds when dealing spell, ranged and melee damage."
enchant,1,spell,968683,Enchant Weapon - Spellbinder's Rage,,968683,Enchant Weapon - Spellbinder's Rage,recipe,Enchanting,300,300/310/312/315,1,,,Recipe: Enchant Weapon - Spellbinder's Rage,1x Animated Bone Dust; 1x Profane Shard; 5x Large Brilliant Shard; 15x Greater Eternal Essence; 20x Illusion Dust,"Permanently enchant a weapon for your spell, ranged and melee attacks have a chance to increase your Intellect by 80+1.0 Points Per Level for $968740donds."
enchant,1,spell,968677,Enchant Weapon - Unstoppable Assault,,968677,Enchant Weapon - Unstoppable Assault,recipe,Enchanting,300,300/310/312/315,1,,,Recipe: Enchant Weapon - Unstoppable Assault,1x Hell Dust; 1x Profane Shard; 5x Large Brilliant Shard; 15x Greater Eternal Essence; 20x Illusion Dust,"Permanently enchant a melee weapon for your spell, ranged and melee attacks to have a chance to increase your Armor Penetration Rating by 30+1.0 Points Per Level (2.14% @ L80) for $968734donds."
enchant,1,spell,968692,Enchant Weapon - Viscious Assault,,968692,Enchant Weapon - Viscious Assault,recipe,Enchanting,300,300/310/312/315,1,,,Recipe: Enchant Weapon - Viscious Assault,1x Item 1303164; 1x Item 1303149; 1x Large Brilliant Shard; 5x Greater Eternal Essence; 10x Illusion Dust,"Permanently enchant a melee weapon to grant your spell, ranged and melee attacks a chance to reduce the cost of your next two abilities by -50+1.0 Points Per Level%. This benefit is only active between level 58 and 60."
flask,1,item,967474,Distilled Flask of Adept Striking,3,968433,Distilled Flask of Adept Striking,recipe,Alchemy,300,300/310/312/315,3,,,Recipe: Distilled Flask of Adept Striking,1x Plague Blossom; 1x Blightroot Extract; 10x Dreamfoil; 2x Essence of Undeath,Use: Increases hit rating by 10 (1.25% @ L60) and attack power by 60 for 2 hr. Counts as both a Battle and Guardian elixir. This effect persists through death.
flask,1,item,967453,Distilled Flask of Butchery,3,968412,Distilled Flask of Butchery,recipe,Alchemy,300,300/310/312/315,3,,,Recipe: Distilled Flask of Butchery,1x Fiery Frond; 1x Blightroot Extract; 10x Plaguebloom; 2x Essence of Earth,Use: Increases Agility by 28 and armor penetration rating by 10 (2.34% @ L60) for 2 hr. Counts as both a Battle and Guardian elixir. This effect persists through death.
flask,1,item,967471,Distilled Flask of Deep Meditation,3,968430,Distilled Flask of Deep Meditation,recipe,Alchemy,300,300/310/312/315,3,,,Recipe: Distilled Flask of Deep Meditation,1x Plague Blossom; 1x Blightroot Extract; 10x Icecap; 2x Essence of Water,Use: Increases spellpower by 53 and MP5 by 36 for 2 hr. Counts as both a Battle and Guardian elixir. This effect persists through death.
flask,1,item,967444,Distilled Flask of Manifesting Power,3,968403,Distilled Flask of Manifesting Power,recipe,Alchemy,300,300/310/312/315,3,,,Recipe: Distilled Flask of Manifesting Power,1x Spectral Rose; 1x Blightroot Extract; 10x Mountain Silversage; 2x Living Essence,Use: Increases Spirit by 17 and spell power by 53 for 2 hr. Counts as both a Battle and Guardian elixir. This effect persists through death.
flask,1,item,967462,Distilled Flask of Savage Assault,3,968421,Distilled Flask of Savage Assault,recipe,Alchemy,300,300/310/312/315,3,,,Recipe: Distilled Flask of Savage Assault,1x Storm Brine; 1x Blightroot Extract; 10x Sungrass; 2x Essence of Air,Use: Increases haste rating by 25 (2.50% @ L60) and attack power by 55 for 2 hr. Counts as both a Battle and Guardian elixir. This effect persists through death.
flask,1,item,967465,Distilled Flask of Shattering Thunder,3,968424,Distilled Flask of Shattering Thunder,recipe,Alchemy,300,300/310/312/315,3,,,Recipe: Distilled Flask of Shattering Thunder,1x Storm Brine; 1x Blightroot Extract; 10x Sungrass; 2x Essence of Air,Use: Increases critical strike rating by 14 (1.00% @ L60) and spell power by 48 for 2 hr. Counts as both a Battle and Guardian elixir. This effect persists through death.
flask,1,item,967459,Distilled Flask of Unrelenting Power,3,968418,Distilled Flask of Unrelenting Power,recipe,Alchemy,300,300/310/312/315,3,,,Recipe: Distilled Flask of Unrelenting Power,1x Fiery Frond; 1x Blightroot Extract; 10x Golden Sansam; 2x Essence of Undeath,Use: Increases haste rating by 10 (1.00% @ L60) and spell power by 48 for 2 hr. Counts as both a Battle and Guardian elixir. This effect persists through death.
flask,1,item,967468,Distilled Flask of the Executioner,3,968427,Distilled Flask of the Executioner,recipe,Alchemy,300,300/310/312/315,3,,,Recipe: Distilled Flask of the Executioner,1x Spectral Rose; 1x Blightroot Extract; 10x Plaguebloom; 2x Essence of Fire,Use: Increases critical strike rating by 14 (1.00% @ L60) and attack power by 60 for 2 hr. Counts as both a Battle and Guardian elixir. This effect persists through death.
flask,1,item,967450,Distilled Flask of the Kirin Tor,3,968409,Distilled Flask of the Kirin Tor,recipe,Alchemy,300,300/310/312/315,3,,,Recipe: Distilled Flask of the Kirin Tor,1x Spectral Rose; 1x Blightroot Extract; 10x Arthas' Tears; 2x Essence of Water,Use: Increases Intellect by 20 and spell power by 50 for 2 hr. Counts as both a Battle and Guardian elixir. This effect persists through death.
flask,1,item,967456,Distilled Flask of the Unyielding,3,968415,Distilled Flask of the Unyielding,recipe,Alchemy,300,300/310/312/315,3,,,Recipe: Distilled Flask of the Unyielding,1x Fiery Frond; 1x Blightroot Extract; 10x Mountain Silversage; 2x Essence of Earth,Use: Increases Stamina by 30 and defense rating by 20 (13.33 @ L60) for 2 hr. Counts as both a Battle and Guardian elixir. This effect persists through death.
flask,1,item,967447,Distilled Flask of the Warsong,3,968406,Distilled Flask of the Warsong,recipe,Alchemy,300,300/310/312/315,3,,,Recipe: Distilled Flask of the Warsong,1x Plague Blossom; 1x Blightroot Extract; 10x Icecap; 2x Essence of Fire,Use: Increases Strength by 20 and armor penetration rating by 10 (2.34% @ L60) for 2 hr. Counts as both a Battle and Guardian elixir. This effect persists through death.
food,1,item,967519,Fused Air Fried Chops,3,968289,Fused Air Fried Chops,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Air Fried Chops,1x Scorched Silithid Meat; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 23 Agility. Lasts for 1 hr.
food,1,item,967624,Fused Blackened Roast,3,968394,Fused Blackened Roast,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Blackened Roast,1x Seared Savage Chimaera Meat; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 15 Shadow Resistence and 20 Stamina. Lasts for 1 hr
